Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
SEG22;S999;EP;Grassland;13.9738023393;53.1008363304;832898.696661426;5895055.4200735
SEG23;S612;EP;Grassland;14.0259043152;53.1076629229;836330.053404985;5896057.81587527
SEG24;S761;EP;Grassland;13.9960806945;53.0930375778;834449.321383081;5894292.71697015
SEG25;S1007;EP;Grassland;13.6179908205;53.1106282851;809028.79622777;5894546.88852226
SEG26;S1022;EP;Grassland;14.0184348694;53.1058313536;835844.856404557;5895819.17875832
SEG27;S1051;EP;Grassland;13.7073809813;53.1227841103;814917.924355039;5896287.83010559
SEG28;S1042;EP;Grassland;14.0060802647;53.0931214508;835117.58608225;5894348.84324196
SEG29;S1043;EP;Grassland;13.9986953531;53.090363765;834645.008732909;5894007.81909018
SEG30;S690;EP;Grassland;13.8306804543;53.1481412744;822970.542022523;5899655.97047606
SEG31;S698;EP;Grassland;13.8354379183;53.1490864835;823281.293822617;5899782.52069523
SEG32;S701;EP;Grassland;13.832087364;53.1519292507;823036.06516496;5900083.2980099
SEG33;S732;EP;Grassland;13.8425129961;52.9857854702;824982.983684606;5881666.53872612
SEG34;S738;EP;Grassland;13.8471996774;52.9831350747;825317.24549659;5881393.26941163
SEG35;S770;EP;Grassland;13.8483181227;52.980270272;825413.821648738;5881079.97953151
SEG36;S1035;EP;Grassland;13.8376434069;52.9869062127;824647.981397389;5881769.00745117
SEG37;S1036;EP;Grassland;13.8760304642;53.1349278101;826100.737877195;5898393.41401678
SEG38;S1044;EP;Grassland;13.6757639408;53.1157329748;812855.377064407;5895365.39924933
SEG39;S780;EP;Grassland;13.8232869643;52.9809239074;823729.963413635;5881039.20776341
SEG40;S850;EP;Grassland;13.8406712422;53.1157000428;823882.324534702;5896095.87850748
SEG41;S974;EP;Grassland;13.8523423904;53.1221932473;824613.700239671;5896870.4062847
SEG42;S1045;EP;Grassland;13.9688288888;52.8706731952;834341.647441149;5869455.18754125
SEG43;S1046;EP;Grassland;13.9678274355;52.876577569;834228.835342151;5870106.64650244
SEG44;S1047;EP;Grassland;13.9651898491;52.8800593338;834024.701131473;5870481.27255745
SEG45;S1048;EP;Grassland;13.9593929333;52.8814555267;833624.254183927;5870609.44486724
SEG46;S779;EP;Grassland;13.8263321419;52.9784378063;823952.842385628;5880776.68683457
SEG47;S801;EP;Grassland;13.827582102;52.9872657751;823970.527904576;5881763.41361211
SEG48;S995;EP;Grassland;13.6066414018;53.09720511;808365.905126271;5893006.02079881
SEG49;S1033;EP;Grassland;13.8565786823;52.9747334907;826009.635904763;5880502.22740795
SEG50;S1052;EP;Grassland;13.7503876671;53.1217783222;817800.603812509;5896366.31127492
SEW01;S5110;VIP;Forest;13.8463669499;52.9008472902;825880.155096083;5872244.73447542
SEW02;S5090;VIP;Forest;13.778028117;52.951728864;820910.726956187;5877591.06428606
SEW03;S5112;VIP;Forest;13.6430016042;52.9207074362;812070.806179145;5873547.27138819
SEW04;S467;VIP;Forest;13.8473113725;52.9173466307;825819.582042628;5874082.61721209
SEW05;S219;VIP;Forest;13.8853662276;53.0570335601;827316.32332522;5889779.62162585
SEW06;S5111;VIP;Forest;13.8416880472;52.907442793;825516.218817523;5872956.4493717
SEW07;S5106;VIP;Forest;13.6944189332;53.1073480195;814164.004962152;5894515.27107001
SEW08;S5113;VIP;Forest;13.9303378591;53.1917971616;829293.88553093;5904962.33068177
SEW09;S5114;VIP;Forest;13.8101029479;53.044586875;822370.088002056;5888054.79231954
