Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
HEG46;H30915;SE;EP;Grassland;10.7539076939166;51.2066698361748;622519.352310265;5674269.55694985
HEG46;H30915;SW;EP;Grassland;10.7531887102834;51.2066698361748;622469.131013874;5674268.35859477
HEG47;H2818;NE;EP;Grassland;10.3722765989731;51.2844255580252;595700.198959114;5682349.14892961
HEG47;H2818;NW;EP;Grassland;10.3715564058269;51.2844255580252;595649.976013596;5682348.21043869
HEG47;H2818;SE;EP;Grassland;10.3722765989731;51.2839751075748;595701.135229609;5682299.05780395
HEG47;H2818;SW;EP;Grassland;10.3715564058269;51.2839751075748;595650.911792593;5682298.11930976
HEG48;H5053;NE;EP;Grassland;10.3804980704027;51.2870565532252;596268.024723611;5682652.46990303
HEG48;H5053;NW;EP;Grassland;10.3797778359973;51.2870565532252;596217.801809392;5682651.5257517
HEG48;H5053;SE;EP;Grassland;10.3804980704027;51.2866061027748;596268.96663995;5682602.37879349
HEG48;H5053;SW;EP;Grassland;10.3797778359973;51.2866061027748;596218.743234185;5682601.43463887
HEG49;H8020;NE;EP;Grassland;10.3922430777455;51.2791281126252;597103.73842396;5681786.27686015
HEG49;H8020;NW;EP;Grassland;10.3915229676545;51.2791281126252;597053.515582505;5681785.32477787
HEG49;H8020;SE;EP;Grassland;10.3922430777455;51.2786776621748;597104.688249482;5681736.18586873
HEG49;H8020;SW;EP;Grassland;10.3915229676545;51.2786776621748;597054.464916618;5681735.23378314
HEG50;H15457;NE;EP;Grassland;10.4211339861868;51.2767346287252;599123.834069376;5681558.7214998
HEG50;H15457;NW;EP;Grassland;10.4204139136132;51.2767346287252;599073.611368228;5681557.74968264
HEG50;H15457;SE;EP;Grassland;10.4211339861868;51.2762841782748;599124.80357763;5681508.63066211
HEG50;H15457;SW;EP;Grassland;10.4204139136132;51.2762841782748;599074.580385106;5681507.65884156
HEW01;H274;NE;VIP;Forest;10.3243397554762;51.1858055314504;592554.981603853;5671321.02422454
HEW01;H274;NW;VIP;Forest;10.3229024603238;51.1858055314504;592454.536246972;5671319.21585271
HEW01;H274;SE;VIP;Forest;10.3243397554762;51.1849046305495;592556.786185737;5671220.8431565
HEW01;H274;SW;VIP;Forest;10.3229024603238;51.1849046305495;592456.338869882;5671219.03477228
