Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEG28;S1042;SW;EP;Grassland;14.0057052120111;53.0928962255748;835094.250080918;5894322.05792266
SEG29;S1043;NE;EP;Grassland;13.9990703817545;53.0905889902252;834668.347203376;5894034.60194721
SEG29;S1043;NW;EP;Grassland;13.9983203244455;53.0905889902252;834618.169483634;5894031.09267635
SEG29;S1043;SE;EP;Grassland;13.9990703817545;53.0901385397748;834671.848236382;5893984.54564435
SEG29;S1043;SW;EP;Grassland;13.9983203244455;53.0901385397748;834621.669989792;5893981.03635736
SEG30;S690;NE;EP;Grassland;13.831055987337;53.1483664996252;822993.939894513;5899682.69731458
SEG30;S690;NW;EP;Grassland;13.830304921263;53.1483664996252;822943.758799882;5899679.30377403
SEG30;S690;SE;EP;Grassland;13.831055987337;53.1479160491748;822997.325500123;5899632.63731847
SEG30;S690;SW;EP;Grassland;13.830304921263;53.1479160491748;822947.143877697;5899629.24376223
SEG31;S698;NE;EP;Grassland;13.8358134596029;53.1493117087252;823304.689950601;5899809.24918174
SEG31;S698;NW;EP;Grassland;13.8350623769971;53.1493117087252;823254.508958701;5899805.85224809
SEG31;S698;SE;EP;Grassland;13.8358134596029;53.1488612582748;823308.078941493;5899759.18928279
SEG31;S698;SW;EP;Grassland;13.8350623769971;53.1488612582748;823257.897421775;5899755.79233342
SEG32;S701;NE;EP;Grassland;13.8324629301658;53.1521544759252;823059.462437643;5900110.02541765
SEG32;S701;NW;EP;Grassland;13.8317117978342;53.1521544759252;823009.281384527;5900106.63071866
SEG32;S701;SE;EP;Grassland;13.8324629301658;53.1517040254748;823062.849200384;5900059.96544157
SEG32;S701;SW;EP;Grassland;13.8317117978342;53.1517040254748;823012.6676194;5900056.57072687
SEG33;S732;NE;EP;Grassland;13.8428871162161;52.9860106954252;825006.381159178;5881693.26580741
SEG33;S732;NW;EP;Grassland;13.8421388759839;52.9860106954252;824956.19979211;5881689.87113467
SEG33;S732;SE;EP;Grassland;13.8428871162161;52.9855602449748;825009.76783057;5881643.20645703
SEG33;S732;SW;EP;Grassland;13.8421388759839;52.9855602449748;824959.585938785;5881639.81176891
SEG34;S738;NE;EP;Grassland;13.8475737745638;52.9833602999252;825340.641343143;5881419.99802987
SEG34;S738;NW;EP;Grassland;13.8468255802362;52.9833602999252;825290.460064127;5881416.6001804
SEG34;S738;SE;EP;Grassland;13.8475737745638;52.9829098494748;825344.031182491;5881369.93878232
SEG34;S738;SW;EP;Grassland;13.8468255802362;52.9829098494748;825293.849378803;5881366.54091747
SEG35;S770;NE;EP;Grassland;13.8486921950588;52.9804954972252;825437.217160371;5881106.70846411
SEG35;S770;NW;EP;Grassland;13.8479440503412;52.9804954972252;825387.035895176;5881103.30995591
SEG35;S770;SE;EP;Grassland;13.8486921950588;52.9800450467748;825440.607655711;5881056.64924655
SEG35;S770;SW;EP;Grassland;13.8479440503412;52.9800450467748;825390.425865898;5881053.25072297
SEG36;S1035;NE;EP;Grassland;13.8380175367228;52.9871314379252;824671.380602705;5881795.73289713
SEG36;S1035;NW;EP;Grassland;13.8372692770772;52.9871314379252;824621.199138958;5881792.34159783
SEG36;S1035;SE;EP;Grassland;13.8380175367228;52.9866809874748;824674.763909307;5881745.67344397
SEG36;S1035;SW;EP;Grassland;13.8372692770772;52.9866809874748;824624.581920825;5881742.2821293
SEG37;S1036;NE;EP;Grassland;13.8764058817336;53.1351530353252;826124.119654989;5898420.15604241
SEG37;S1036;NW;EP;Grassland;13.8756550466664;53.1351530353252;826073.939471599;5898416.73114394
SEG37;S1036;SE;EP;Grassland;13.8764058817336;53.1347025848748;826127.536537565;5898370.09703001
SEG37;S1036;SW;EP;Grassland;13.8756550466664;53.1347025848748;826077.355826591;5898366.67211571
SEG38;S1044;NE;EP;Grassland;13.6761391907071;53.1159582000252;812878.831700742;5895392.07238344
SEG38;S1044;NW;EP;Grassland;13.6753886908929;53.1159582000252;812828.647323235;5895388.78934338
SEG38;S1044;SE;EP;Grassland;13.6761391907071;53.1155077495748;812882.10706046;5895342.00929524
SEG38;S1044;SW;EP;Grassland;13.6753886908929;53.1155077495748;812831.922155913;5895338.72624007
SEG39;S780;NE;EP;Grassland;13.8236610423179;52.9811491326252;823753.367943016;5881065.92817046
SEG39;S780;NW;EP;Grassland;13.8229128862821;52.9811491326252;823703.186165347;5881062.54722827
SEG39;S780;SE;EP;Grassland;13.8236610423179;52.9806986821748;823756.740915373;5881015.86843795
SEG39;S780;SW;EP;Grassland;13.8229128862821;52.9806986821748;823706.558613097;5881012.48748045
SEG40;S850;NE;EP;Grassland;13.8410464918197;53.1159252680252;823905.719566158;5896122.60800223
SEG40;S850;NW;EP;Grassland;13.8402959925803;53.1159252680252;823855.538577244;5896119.20886037
